timestamp_us,saddr,daddr,sport,dport,min_rtt,curr_rtt,srtt,rtt_var,queue_delay,loss_count,dup_ack,loss_rate_ppm,bytes_sent,bytes_acked,pkts_sent,pkts_acked,throughput_kbps,ack_interval,send_interval,inflight,rwnd,event
762716235650,74.48.174.95,204.44.191.97,55996,8080,2340,1041856,132279,260756,1039516,4692,0,55552,0,0,0,0,0,1138456,1138669,0,509,2
762717716082,74.48.174.95,170.254.237.76,443,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762717716083,74.48.174.95,170.254.238.28,443,49551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762717716084,74.48.174.95,205.164.237.190,443,49078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762717716085,74.48.174.95,170.254.239.34,443,32554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236068,74.48.174.95,170.254.239.210,443,28809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236069,74.48.174.95,204.44.191.97,56050,8080,0,0,0,0,0,0,0,0,3718448,0,60,0,0,0,925,0,22500,0
762718236069,74.48.174.95,170.254.236.253,443,9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236070,74.48.174.95,170.254.238.230,443,29639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236071,74.48.174.95,170.254.238.250,443,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236072,74.48.174.95,170.254.238.66,443,29456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236073,74.48.174.95,170.254.236.183,443,18037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236074,74.48.174.95,170.254.237.76,443,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236077,74.48.174.95,170.254.238.28,443,49551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236078,74.48.174.95,170.254.239.74,443,11916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236079,74.48.174.95,205.164.237.190,443,49078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762718236080,74.48.174.95,170.254.236.186,443,4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172063,74.48.174.95,170.254.238.106,443,63605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172064,74.48.174.95,204.44.191.97,56022,8080,0,0,0,0,0,0,0,0,1898830,0,30,0,0,0,22996,0,21230,0
762719172064,74.48.174.95,170.254.236.45,443,56512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172065,74.48.174.95,170.254.236.66,443,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172066,74.48.174.95,204.44.191.97,56050,8080,0,0,0,0,0,0,0,0,1006930,0,16,0,0,0,19904,0,25920,0
762719172066,74.48.174.95,170.254.236.253,443,9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172067,74.48.174.95,170.254.238.230,443,29639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172068,74.48.174.95,170.254.238.250,443,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172069,74.48.174.95,170.254.236.85,443,45512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172070,74.48.174.95,170.254.239.236,443,13669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172071,74.48.174.95,170.254.237.76,443,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172072,74.48.174.95,170.254.236.35,443,29765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172073,74.48.174.95,170.254.236.86,443,47618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172074,74.48.174.95,170.254.237.134,443,56103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719172075,74.48.174.95,170.254.236.186,443,4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696093,74.48.174.95,170.254.239.5,443,22976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696094,74.48.174.95,170.254.236.9,443,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696095,74.48.174.95,204.44.191.97,56022,8080,0,0,0,0,0,0,0,0,1229440,0,21,0,0,0,19120,0,16116,0
762719696095,74.48.174.95,170.254.236.45,443,56512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696096,74.48.174.95,170.254.238.213,443,30948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696097,74.48.174.95,170.254.239.203,443,7758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696097,74.48.174.95,204.44.191.97,56050,8080,0,0,0,0,0,0,0,0,367392,0,6,0,0,0,29399,0,21281,0
762719696098,74.48.174.95,170.254.236.253,443,9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696099,74.48.174.95,170.254.238.230,443,29639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696100,74.48.174.95,170.254.238.250,443,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696101,74.48.174.95,170.254.238.66,443,29456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696102,74.48.174.95,170.254.239.42,443,63148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696103,74.48.174.95,170.254.236.88,443,34761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696104,74.48.174.95,170.254.238.28,443,49551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696105,74.48.174.95,170.254.238.200,443,15994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762719696106,74.48.174.95,170.254.239.34,443,32554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216085,74.48.174.95,170.254.238.210,443,36643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216086,74.48.174.95,170.254.236.55,443,29512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216087,74.48.174.95,170.254.237.165,443,50154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216088,74.48.174.95,170.254.239.5,443,22976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216089,74.48.174.95,170.254.236.9,443,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216090,74.48.174.95,170.254.238.106,443,63605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216091,74.48.174.95,204.44.191.97,56022,8080,0,0,0,0,0,0,0,0,1381120,0,40,0,0,0,16216,0,25631,0
762720216091,74.48.174.95,170.254.236.45,443,56512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216092,74.48.174.95,170.254.238.169,443,57302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216093,74.48.174.95,170.254.239.210,443,28809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216094,74.48.174.95,170.254.236.112,443,26357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216094,74.48.174.95,204.44.191.97,56050,8080,0,0,0,0,0,0,0,0,2083312,0,162,0,0,0,278,0,21230,0
762720216095,74.48.174.95,170.254.236.253,443,9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216096,74.48.174.95,170.254.236.128,443,20312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216098,74.48.174.95,45.181.231.224,443,16052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216099,74.48.174.95,170.254.238.250,443,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216100,74.48.174.95,170.254.238.159,443,46016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216101,74.48.174.95,170.254.236.85,443,45512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216102,74.48.174.95,170.254.239.42,443,63148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216103,74.48.174.95,170.254.239.236,443,13669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216104,74.48.174.95,170.254.236.88,443,34761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216105,74.48.174.95,170.254.239.145,443,48499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216106,74.48.174.95,170.254.236.35,443,29765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216107,74.48.174.95,170.254.236.86,443,47618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216108,74.48.174.95,170.254.238.200,443,15994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216109,74.48.174.95,170.254.239.34,443,32554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720216110,74.48.174.95,170.254.236.186,443,4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736082,74.48.174.95,170.254.238.48,443,38842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736083,74.48.174.95,170.254.236.35,443,9739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736084,74.48.174.95,170.254.238.58,443,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736085,74.48.174.95,170.254.236.55,443,29512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736086,74.48.174.95,170.254.237.119,443,61329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736087,74.48.174.95,170.254.236.95,443,26211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736088,74.48.174.95,170.254.237.5,443,50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736088,74.48.174.95,204.44.191.97,56022,8080,0,0,0,0,0,0,0,0,2516208,0,42,0,0,0,1254,0,25920,0
762720736089,74.48.174.95,170.254.237.53,443,53117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736090,74.48.174.95,170.254.238.213,443,30948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736091,74.48.174.95,170.254.236.112,443,26357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736091,74.48.174.95,204.44.191.97,56050,8080,0,0,0,0,0,0,0,0,2069072,0,167,0,0,0,1596,0,20798,0
762720736092,74.48.174.95,170.254.238.253,443,55531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736093,74.48.174.95,45.181.231.224,443,16052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736094,74.48.174.95,170.254.238.165,443,24259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736095,74.48.174.95,170.254.236.163,443,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736096,74.48.174.95,170.254.236.183,443,18037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736097,74.48.174.95,170.254.236.88,443,34761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736098,74.48.174.95,170.254.239.145,443,48499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736099,74.48.174.95,170.254.239.74,443,11916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736100,74.48.174.95,205.164.237.190,443,49078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762720736101,74.48.174.95,170.254.239.34,443,32554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256063,74.48.174.95,170.254.238.206,443,10437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256064,74.48.174.95,170.254.236.104,443,43981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256065,74.48.174.95,170.254.238.150,443,52395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256066,74.48.174.95,204.44.191.97,56034,8080,0,0,0,0,0,0,0,0,6181056,0,138,0,0,0,778,0,21646,0
762721256066,74.48.174.95,204.44.191.97,56076,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,509,0
762721256067,74.48.174.95,170.254.239.212,443,22042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256068,74.48.174.95,170.254.237.128,443,11904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256069,74.48.174.95,170.254.238.58,443,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256070,74.48.174.95,170.254.236.55,443,29512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256071,74.48.174.95,170.254.237.119,443,61329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256072,74.48.174.95,170.254.236.89,443,33902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256073,74.48.174.95,170.254.237.5,443,50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256073,74.48.174.95,204.44.191.97,56022,8080,0,0,0,0,0,0,0,0,1646720,0,39,0,0,0,1247,0,20781,0
762721256074,74.48.174.95,170.254.236.45,443,56512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256075,74.48.174.95,170.254.238.213,443,30948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256076,74.48.174.95,170.254.239.203,443,7758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762721256076,74.48.174.95,204.44.191.97,56050,8080,0,0,0,0,0,0,0,0,2104672,0,176,0,0,0,353,0,20484,0
762721256077,74.48.174.95,170.254.236.89,443,45927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
