timestamp_us,saddr,daddr,sport,dport,min_rtt,curr_rtt,srtt,rtt_var,queue_delay,loss_count,dup_ack,loss_rate_ppm,bytes_sent,bytes_acked,pkts_sent,pkts_acked,throughput_kbps,ack_interval,send_interval,inflight,rwnd,event
765041668117,74.48.174.95,123.113.12.83,8443,52927,215241,231917,386025,207852,16676,1,2,3392,0,0,0,0,0,14816,15227,0,512,0
765041668118,74.48.174.95,123.113.12.83,8443,52839,200272,200272,377827,201927,0,1,1,53392,0,0,0,0,0,204023,203360,0,512,0
765041668119,74.48.174.95,123.113.12.83,8443,52892,193193,200736,330746,182180,7543,2,2,25614,0,0,0,0,0,1518,3355,0,512,0
765041668120,74.48.174.95,123.113.12.83,8443,52846,227359,227359,408862,226587,0,1,2,45575,0,0,0,0,0,58197,60759,0,512,0
765041668121,74.48.174.95,123.113.12.83,8443,53015,228441,228441,308666,120143,0,3,1,19230,0,0,0,0,0,720,1329,0,1945,0
765041668121,74.48.174.95,35.80.105.162,57891,443,27092,27092,49799,26378,0,1,0,3392,0,0,0,0,0,263237,219955,0,131,0
765041668122,74.48.174.95,123.113.12.83,8443,53154,194729,202597,363026,203041,7868,2,1,6784,0,0,0,0,0,7320,8370,0,512,0
765041668123,74.48.174.95,140.82.113.26,37611,443,53144,53144,99659,53154,0,1,0,53392,0,0,0,0,0,263490,261045,0,74,0
765041668125,74.48.174.95,123.113.12.83,8443,52809,397186,397186,397186,198593,0,1,2,41248,0,0,0,0,0,673521,673740,0,512,0
765041668126,74.48.174.95,123.113.12.83,8443,53173,234175,469192,459215,158335,235017,1,1,34464,0,0,0,0,0,235157,235065,43,512,0
765041668127,74.48.174.95,123.113.12.83,8443,53111,216358,251324,371250,195430,34966,4,1,45548,0,0,0,0,0,54501,57174,0,512,0
765041668128,74.48.174.95,172.217.12.138,58701,443,1004,343963,49078,93371,342959,2,0,23570,0,0,0,0,0,343615,343610,0,1039,0
765041668129,74.48.174.95,104.20.23.243,49493,443,2080,277735,36536,69693,275655,1,0,5653,0,0,0,0,0,276548,236740,0,17,0
765041772052,74.48.174.95,23.32.152.108,42151,443,530,530,1022,550,0,1,0,53392,0,0,0,0,0,237611,197179,0,497,0
765041772053,74.48.174.95,123.113.12.83,8443,53107,217346,217346,384578,210792,0,1,0,35594,0,0,0,0,0,105680,107221,0,511,0
765041772054,74.48.174.95,35.219.139.142,43373,443,7891,7891,11389,5457,0,0,0,0,0,0,0,0,0,202940,198956,0,1007,0
765041772055,74.48.174.95,172.67.203.186,47400,443,1276,1276,2751,1532,0,1,0,35594,0,0,0,0,0,42429,948,0,16,0
765041772057,74.48.174.95,142.250.72.170,36551,443,803,50818,7354,12827,50015,1,0,3392,0,0,0,0,0,45054,50355,0,1041,0
765041772057,74.48.174.95,151.101.2.219,50453,443,1013,3674178,460189,918525,3673165,3,0,47320,0,0,0,0,0,204054,204045,0,283,0
765041772058,74.48.174.95,172.64.153.42,43411,443,1307,1307,2104,1059,0,0,0,0,0,0,0,0,0,259555,218909,0,17,0
765041772059,74.48.174.95,123.113.12.83,8443,52814,217437,220857,342032,167810,3420,5,1,47499,0,0,0,0,0,4341,4015,0,512,0
765041772061,74.48.174.95,204.44.191.97,40791,8080,1037,235645,56282,95776,234608,1,0,59464,50,50,1,1,3,237468,237310,0,489,0
765041772062,74.48.174.95,123.113.12.83,8443,52871,214800,215105,328968,174098,305,3,1,34161,0,0,0,0,0,727,502,0,512,0
765041772062,74.48.174.95,151.101.193.91,47803,443,1774,232227,30580,58278,230453,1,0,53392,0,0,0,0,0,227560,227570,0,287,0
765041772063,74.48.174.95,151.101.2.219,53947,443,1068,1120,1074,413,52,0,0,0,0,0,0,0,0,199768,199691,0,280,0
765041772063,74.48.174.95,123.113.12.83,8443,52888,195204,3784208,764366,991588,3589004,2,1,39727,0,0,0,0,0,3585380,3590435,0,512,0
765041772064,74.48.174.95,162.19.138.118,36597,443,150337,153313,264664,143865,2976,2,1,6784,0,0,0,0,0,347795,3391,0,83,0
765041772065,74.48.174.95,123.113.12.83,8443,53075,194171,194171,347383,192122,0,2,1,53392,0,0,0,0,0,5181,4800,0,512,0
