timestamp_us,saddr,daddr,sport,dport,min_rtt,curr_rtt,srtt,rtt_var,queue_delay,loss_count,dup_ack,loss_rate_ppm,bytes_sent,bytes_acked,pkts_sent,pkts_acked,throughput_kbps,ack_interval,send_interval,inflight,rwnd,event
762635436057,74.48.174.95,170.254.238.67,443,64720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436058,74.48.174.95,170.254.239.58,443,44793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436059,74.48.174.95,170.254.236.209,443,61479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436060,74.48.174.95,170.254.236.249,443,55804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436061,74.48.174.95,170.254.236.23,443,30827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436062,74.48.174.95,170.254.237.20,443,4628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436062,74.48.174.95,162.159.152.2,45102,443,15103,15103,15103,7551,0,0,2,0,0,0,0,0,0,14069,320,0,16,0
762635436063,74.48.174.95,170.254.236.199,443,49949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436064,74.48.174.95,170.254.237.59,443,51735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436065,74.48.174.95,170.254.237.238,443,55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436066,74.48.174.95,170.254.238.97,443,18713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436067,74.48.174.95,170.254.237.36,443,18301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436068,74.48.174.95,170.254.238.70,443,9903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436069,74.48.174.95,170.254.236.209,443,32241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436070,74.48.174.95,170.254.238.40,443,18163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436071,74.48.174.95,170.254.239.75,443,23840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762635436072,74.48.174.95,170.254.237.30,443,6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
